anzsco_code,occupation,share_fulltime,avg_fulltime_hours,median_fulltime_earnings,median_fulltime_hourly_earnings
223111,Human Resource Advisers,78.0,41.0,,
223112,Recruitment Consultants,83.0,41.0,,
223113,Workplace Relations Advisers,84.0,42.0,,
224111,Actuaries,89.0,43.0,,
224112,Mathematicians,85.0,42.0,,
224113,Statisticians,72.0,41.0,,
224211,Archivists,54.0,38.0,,
224212,Gallery and Museum Curators,67.0,41.0,,
224213,Health Information Managers,71.0,41.0,,
224214,Records Managers,79.0,39.0,,
224411,Intelligence Officers,84.0,41.0,,
224412,Policy Analysts,78.0,41.0,,
224511,Land Economists,82.0,45.0,,
224512,Valuers,84.0,46.0,,
224711,Management Consultants,79.0,43.0,,
224712,Organisation and Methods Analysts,84.0,42.0,,
224911,Electorate Officers,68.0,44.0,,
224912,Liaison Officers,72.0,40.0,,
224913,Migration Agents,62.0,41.0,,
224914,Patents Examiners,80.0,38.0,,
224999,Information and Organisation Professionals (not covered elsewhere),86.0,41.0,,
225111,Advertising Specialists,85.0,44.0,,
225112,Market Research Analysts,74.0,41.0,,
225113,Marketing Specialists,76.0,42.0,,
225211,ICT Account Managers,94.0,42.0,,
225212,ICT Business Development Managers,93.0,43.0,,
225213,ICT Sales Representatives,90.0,43.0,,
225411,Sales Representatives (Industrial Products),91.0,43.0,,
225412,Sales Representatives (Medical and Pharmaceutical Products),87.0,41.0,,
225499,Other Technical Sales Representatives,87.0,41.0,,
231111,Aeroplane Pilots,61.0,44.0,,
231112,Air Traffic Controllers,83.0,38.0,,
231113,Flying Instructors,66.0,40.0,,
231114,Helicopter Pilots,86.0,47.0,,
231199,Other Air Transport Professionals,83.0,43.0,,
231211,Master Fishers,69.0,57.0,,
231212,Marine Engineers,92.0,55.0,,
231213,Ship's Masters,74.0,54.0,,
231214,Ship's Officers,94.0,61.0,,
231215,Marine Surveyors,78.0,43.0,,
231299,Other Marine Transport Professionals,89.0,43.0,,
232111,Architects,81.0,44.0,,
232112,Landscape Architects,71.0,43.0,,
232212,Surveyors,86.0,48.0,,
232213,Cartographers,70.0,39.0,,
232214,Other Spatial Scientists,84.0,40.0,,
232311,Fashion Designers,66.0,43.0,,
232312,Industrial Designers,79.0,42.0,,
232313,Jewellery Designers,52.0,41.0,,
232411,Graphic Designers,63.0,41.0,,
232412,Illustrators (including Animators),70.0,43.0,,
232413,Multimedia Designers,74.0,41.0,,
232414,Web Designers,69.0,41.0,,
233111,Chemical Engineers,87.0,43.0,,
233112,Materials Engineers,82.0,41.0,,
233211,Civil Engineers,89.0,45.0,,
233212,Geotechnical Engineers,89.0,46.0,,
233213,Quantity Surveyors,87.0,43.0,,
233214,Structural Engineers,88.0,43.0,,
233215,Transport Engineers,90.0,41.0,,
233511,Industrial Engineers,89.0,42.0,,
233512,Mechanical Engineers,90.0,43.0,,
233513,Production and Plant Engineers,91.0,43.0,,
233611,Mining Engineers (excluding Petroleum),89.0,52.0,,
233612,Petroleum Engineers,90.0,45.0,,
233911,Aeronautical Engineers,91.0,42.0,,
233912,Agricultural Engineers,80.0,43.0,,
233913,Biomedical Engineers,88.0,41.0,,
233914,Engineering Technologists,84.0,40.0,,
233915,Environmental Engineers,82.0,42.0,,
233916,Naval Architects,88.0,40.0,,
233999,Engineering Professionals (not covered elsewhere),86.0,42.0,,
234111,Agricultural Consultants,71.0,44.0,,
234112,Agricultural Scientists,85.0,43.0,,
234113,Foresters,82.0,41.0,,
234211,Chemists,80.0,41.0,,
234212,Food Technologists,80.0,41.0,,
234213,Wine Makers,82.0,45.0,,
234311,Conservation Officers,75.0,40.0,,
234312,Environmental Consultants,75.0,44.0,,
234313,Environmental Research Scientists,76.0,42.0,,
234314,Park Rangers,81.0,41.0,,
234399,Other Environmental Scientists,71.0,42.0,,
234411,Geologists,83.0,53.0,,
234412,Geophysicists,79.0,43.0,,
234413,Hydrogeologists,81.0,43.0,,
234511,Biologists,76.0,44.0,,
234513,Biochemists,75.0,41.0,,
234514,Biotechnologists,78.0,40.0,,
234515,Botanists,73.0,41.0,,
234516,Marine Biologists,74.0,41.0,,
234517,Microbiologists,78.0,41.0,,
234518,Zoologists,73.0,43.0,,
234599,Other Life Scientists,72.0,42.0,,
234911,Conservators,59.0,41.0,,
234912,Metallurgists,84.0,50.0,,
234913,Meteorologists,77.0,39.0,,
234914,Physicists (including Astronomers),87.0,41.0,,
234915,Exercise Physiologists,62.0,41.0,,
234999,Natural and Physical Science Professionals (not covered elsewhere),64.0,41.0,,
241511,Special Needs Teachers,61.0,43.0,,
241512,Teachers of the Hearing Impaired,48.0,40.0,,
241513,Teachers of the Sight Impaired,60.0,33.0,,
241599,Other Special Education Teachers,58.0,44.0,,
242111,University Lecturers,75.0,45.0,,
242112,University Tutors,12.0,41.0,,
249111,Education Advisers,69.0,42.0,,
249112,Education Reviewers,64.0,42.0,,
249211,Art Teachers (Private Tuition),23.0,41.0,,
249212,Dance Teachers (Private Tuition),17.0,44.0,,
249213,Drama Teachers (Private Tuition),14.0,46.0,,
249214,Music Teachers (Private Tuition),13.0,42.0,,
249299,Other Private Tutors and Teachers,13.0,42.0,,
251111,Dietitians,49.0,40.0,,
251112,Nutritionists,37.0,42.0,,
251211,Medical Diagnostic Radiographers,67.0,40.0,,
251212,Medical Radiation Therapists,71.0,39.0,,
251213,Nuclear Medicine Technologists,70.0,40.0,,
251214,Sonographers,51.0,40.0,,
251311,Environmental Health Officers,75.0,41.0,,
251312,Occupational Health and Safety Advisers,83.0,45.0,,
251411,Optometrists,50.0,40.0,,
251412,Orthoptists,48.0,39.0,,
251511,Hospital Pharmacists,70.0,41.0,,
251512,Industrial Pharmacists,87.0,40.0,,
251513,Retail Pharmacists,63.0,42.0,,
251911,Health Promotion Officers,54.0,41.0,,
251912,Orthotists and Prosthetists,77.0,40.0,,
251999,Genetic Counsellors (and Other Health Professionals not covered elsewhere),60.0,42.0,,
252111,Chiropractors,43.0,42.0,,
252112,Osteopaths,48.0,41.0,,
252211,Acupuncturists,35.0,40.0,,
252212,Homoeopaths,19.0,43.0,,
252213,Naturopaths,30.0,41.0,,
252214,Chinese Medicine Practitioners,33.0,42.0,,
252299,"Music, Dance, Drama, Play, Hypnotic, and Related Therapists",28.0,40.0,,
252311,Dental Specialists (including Orthodontists),59.0,44.0,,
252312,Dentists,48.0,41.0,,
252711,Audiologists,63.0,40.0,,
252712,Speech Pathologists,56.0,40.0,,
253111,General Practitioners,69.0,45.0,,
253112,Resident Medical Officers,89.0,46.0,,
253311,Specialist Physicians (General Medicine),73.0,47.0,,
253312,Cardiologists,82.0,49.0,,
253313,Clinical Haematologists,78.0,51.0,,
253314,Medical Oncologists,79.0,47.0,,
253315,Endocrinologists,55.0,44.0,,
253316,Gastroenterologists,78.0,47.0,,
253317,Intensive Care Specialists,93.0,49.0,,
253318,Neurologists,73.0,48.0,,
253321,Paediatricians,75.0,46.0,,
253322,Renal Medicine Specialists,74.0,45.0,,
253323,Rheumatologists,60.0,50.0,,
253324,Thoracic Medicine Specialists,77.0,49.0,,
253399,Other Specialist Physicians,68.0,46.0,,
253511,Surgeons (General),85.0,49.0,,
253512,Cardiothoracic Surgeons,90.0,51.0,,
253513,Neurosurgeons,86.0,57.0,,
253514,Orthopaedic Surgeons,88.0,54.0,,
253515,"Ear, Nose and Throat Specialists",81.0,50.0,,
253516,Paediatric Surgeons,88.0,45.0,,
253517,Plastic and Reconstructive Surgeons,81.0,51.0,,
253518,Urologists,90.0,53.0,,
253521,Vascular Surgeons,85.0,50.0,,
253911,Dermatologists,65.0,46.0,,
253912,Emergency Medicine Specialists,80.0,44.0,,
253913,Obstetricians and Gynaecologists,84.0,53.0,,
253914,Eye Specialists,73.0,47.0,,
253915,Pathologists,67.0,44.0,,
253917,Diagnostic and Interventional Radiologists,74.0,45.0,,
253918,Radiation Oncologists,82.0,45.0,,
253999,Medical Practitioners (not covered elsewhere),71.0,45.0,,
254211,Nurse Educators,59.0,41.0,,
254212,Nurse Researchers,54.0,39.0,,
254411,Nurse Practitioners,64.0,42.0,,
254412,Registered Nurses (Aged Care),49.0,42.0,,
254413,Registered Nurses (Child and Family Health),38.0,40.0,,
254414,Registered Nurses (Community Health),48.0,41.0,,
254415,Registered Nurses (Critical Care and Emergency),52.0,41.0,,
254416,Registered Nurses (Developmental Disability),,,,
254417,Registered Nurses (Disability and Rehabilitation),48.0,41.0,,
254418,Registered Nurses (Medical),46.0,41.0,,
254421,Registered Nurses (Medical Practice),39.0,40.0,,
254422,Registered Nurses (Mental Health),63.0,41.0,,
254423,Registered Nurses (Perioperative),50.0,41.0,,
254424,Registered Nurses (Surgical),44.0,41.0,,
254425,Registered Nurses (Paediatrics),45.0,40.0,,
254499,Registered Nurses (not covered elsewhere),46.0,42.0,,
261111,ICT Business Analysts,90.0,41.0,,
261112,Systems Analysts,91.0,41.0,,
261211,Game and Multimedia Developers,78.0,42.0,,
261212,Web Developers,78.0,41.0,,
261311,Analyst Programmers,88.0,40.0,,
261312,Developer Programmers,87.0,41.0,,
261313,Software Engineers,92.0,41.0,,
261314,Software Testers,90.0,40.0,,
261399,Other Software and Applications Programmers,95.0,41.0,,
262111,Database Administrators,82.0,40.0,,
262112,ICT Security Specialists,92.0,42.0,,
262113,Systems Administrators,90.0,41.0,,
263111,Computer Network and Systems Engineers,93.0,41.0,,
263112,Network Administrators,88.0,42.0,,
263113,Network Analysts,94.0,41.0,,
263211,ICT Quality Assurance Engineers,87.0,41.0,,
263212,ICT Support Engineers,92.0,40.0,,
263213,ICT Systems Test Engineers,89.0,39.0,,
263299,Other ICT Support and Test Engineers,89.0,41.0,,
263311,Telecommunications Engineers,92.0,42.0,,
263312,Telecommunications Network Engineers,89.0,41.0,,
271211,Judges,92.0,50.0,,
271212,Magistrates,85.0,40.0,,
271213,Tribunal Members,56.0,44.0,,
271214,Intellectual Property Lawyers,82.0,45.0,,
271299,Judicial and Other Legal Professionals (not covered elsewhere),75.0,43.0,,
272111,Careers Counsellors,57.0,41.0,,
272112,Drug and Alcohol Counsellors,58.0,39.0,,
272113,Family and Marriage Counsellors,42.0,40.0,,
272114,Rehabilitation Counsellors,72.0,40.0,,
272115,Student Counsellors,53.0,41.0,,
272199,Other Counsellors and Life Coaches,45.0,41.0,,
272311,Clinical Psychologists,51.0,42.0,,
272312,Educational Psychologists,62.0,41.0,,
272313,Organisational Psychologists,69.0,45.0,,
272314,Psychotherapists,35.0,41.0,,
272399,Other Psychologists,56.0,40.0,,
272411,Historians,50.0,42.0,,
272412,Interpreters,22.0,40.0,,
272413,Translators,35.0,41.0,,
272414,Archaeologists,69.0,41.0,,
272499,Other Social Professionals,56.0,41.0,,
272611,Community Arts Workers,51.0,39.0,,
272612,Recreation Officers,57.0,40.0,,
272613,Welfare Workers,60.0,41.0,,
311211,Anaesthetic Technicians,65.0,40.0,,
311212,Cardiac Technicians,59.0,40.0,,
311213,Medical Laboratory Technicians,62.0,41.0,,
311214,Operating Theatre Technicians,70.0,41.0,,
311215,Pharmacy Technicians,52.0,40.0,,
311216,Pathology Collectors,43.0,42.0,,
311299,Other Medical Technicians,56.0,40.0,,
311311,Fisheries Officers,90.0,38.0,,
311312,Meat Inspectors,87.0,42.0,,
311313,Quarantine Officers,73.0,41.0,,
311399,Other Primary Products Inspectors,76.0,38.0,,
311411,Chemistry Technicians,78.0,41.0,,
311412,Earth Science Technicians,85.0,54.0,,
311413,Life Science Technicians,70.0,40.0,,
311414,School Laboratory Technicians,48.0,39.0,,
311415,Hydrographers,88.0,42.0,,
311499,Other Science Technicians,67.0,42.0,,
312111,Architectural Draftspersons,75.0,43.0,,
312112,Building Associates,93.0,48.0,,
312113,Building Inspectors,83.0,43.0,,
312114,Construction Estimators,87.0,42.0,,
312115,Plumbing Inspectors,92.0,38.0,,
312116,Surveying and Spatial Science Technicians,79.0,42.0,,
312199,"Other Architectural, Building and Surveying Technicians",75.0,41.0,,
312211,Civil Engineering Draftspersons,86.0,41.0,,
312212,Civil Engineering Technicians,87.0,43.0,,
312311,Electrical Engineering Draftspersons,84.0,41.0,,
312312,Electrical Engineering Technicians,85.0,46.0,,
312411,Electronic Engineering Draftspersons,70.0,37.0,,
312412,Electronic Engineering Technicians,85.0,42.0,,
312511,Mechanical Engineering Draftspersons,88.0,42.0,,
312512,Mechanical Engineering Technicians,90.0,46.0,,
312911,Maintenance Planners,94.0,48.0,,
312912,Metallurgical and Materials Technicians,86.0,50.0,,
312913,Mine Deputies,95.0,63.0,,
312999,Building and Engineering Technicians (not covered elsewhere),90.0,45.0,,
313111,Hardware Technicians,70.0,42.0,,
313112,ICT Customer Support Officers,83.0,40.0,,
313113,Web Administrators,72.0,41.0,,
313199,Other ICT Support Technicians,86.0,41.0,,
313211,Radiocommunications Technicians,86.0,42.0,,
313212,Telecommunications Field Engineers,91.0,40.0,,
313213,Telecommunications Network Planners,93.0,40.0,,
313214,Telecommunications Technical Officers and Technologists,90.0,40.0,,
321211,Motor Mechanics (General),85.0,43.0,,
321212,Diesel Motor Mechanics,93.0,46.0,,
321213,Motorcycle Mechanics,82.0,42.0,,
321214,Small Engine Mechanics,78.0,41.0,,
322111,Blacksmiths,71.0,45.0,,
322112,Electroplaters,90.0,40.0,,
322113,Farriers,66.0,45.0,,
322114,Metal Casting Trades Workers,89.0,37.0,,
322115,Metal Polishers,82.0,41.0,,
322311,Metal Fabricators,91.0,47.0,,
322312,Pressure Welders,88.0,36.0,,
322313,Welders (First Class),87.0,44.0,,
323111,Aircraft Maintenance Engineers (Avionics),93.0,42.0,,
323112,Aircraft Maintenance Engineers (Mechanical),94.0,41.0,,
323113,Aircraft Maintenance Engineers (Structures),89.0,40.0,,
323211,Fitters (General),93.0,52.0,,
323212,Fitter and Turners,92.0,44.0,,
323213,Fitter-Welders,89.0,44.0,,
323214,Metal Machinists (First Class),89.0,43.0,,
323215,"Textile, Clothing and Footwear Mechanics",62.0,41.0,,
323299,Other Metal Fitters and Machinists,91.0,47.0,,
323311,Engravers,57.0,37.0,,
323312,Gunsmiths,75.0,44.0,,
323313,Locksmiths,76.0,42.0,,
323314,Precision Instrument Makers and Repairers,82.0,40.0,,
323315,Saw Doctors,85.0,42.0,,
323316,Watch and Clock Makers and Repairers,62.0,41.0,,
323411,Engineering Patternmakers,78.0,39.0,,
323412,Toolmakers,87.0,42.0,,
324211,Vehicle Body Builders,89.0,42.0,,
324212,Vehicle Trimmers,76.0,43.0,,
331111,Bricklayers,75.0,42.0,,
331112,Stonemasons,79.0,42.0,,
331212,Carpenters,84.0,43.0,,
331213,Joiners,83.0,42.0,,
333211,Fibrous Plasterers,75.0,42.0,,
333212,Solid Plasterers,68.0,42.0,,
334111,Plumbers (General),85.0,43.0,,
334112,Airconditioning and Mechanical Services Plumbers,93.0,42.0,,
334113,Drainers,87.0,45.0,,
334114,Gasfitters,85.0,45.0,,
334115,Roof Plumbers,84.0,43.0,,
341111,Electricians (General),86.0,45.0,,
341112,Electricians (Special Class),92.0,43.0,,
341113,Lift Mechanics,89.0,43.0,,
342211,Electrical Linesworkers,93.0,44.0,,
342212,Technical Cable Jointers,94.0,44.0,,
342311,Business Machine Mechanics,84.0,39.0,,
342312,Communications Operators,91.0,46.0,,
342313,Electronic Equipment Trades Workers,73.0,42.0,,
342314,Electronic Instrument Trades Workers (General),91.0,46.0,,
342315,Electronic Instrument Trades Workers (Special Class),88.0,41.0,,
342411,Cablers (Data and Telecommunications),63.0,41.0,,
342412,Telecommunications Cable Jointers,80.0,42.0,,
342413,Telecommunications Linesworkers,72.0,41.0,,
342414,Telecommunications Technicians,77.0,42.0,,
351111,Bakers,66.0,43.0,,
351112,Pastrycooks,56.0,43.0,,
361111,Dog Handlers and Trainers,51.0,46.0,,
361112,Horse Trainers,81.0,52.0,,
361113,Pet Groomers,35.0,42.0,,
361114,Zookeepers,63.0,40.0,,
361115,Kennel Hands,24.0,43.0,,
361199,Other Animal Attendants and Trainers,38.0,43.0,,
362211,Gardeners (General),45.0,41.0,,
362212,Arborists,80.0,43.0,,
362213,Landscape Gardeners,72.0,42.0,,
392111,Print Finishers,75.0,39.0,,
392112,Screen Printers,68.0,40.0,,
392311,Printing Machinists,85.0,41.0,,
392312,Small Offset Printers,78.0,39.0,,
393111,Canvas Goods Fabricators,68.0,40.0,,
393112,Leather Goods Makers,59.0,45.0,,
393113,Sail Makers,73.0,39.0,,
393114,Shoemakers,67.0,42.0,,
393211,Apparel Cutters,58.0,37.0,,
393212,Clothing Patternmakers,47.0,45.0,,
393213,Dressmakers and Tailors,42.0,43.0,,
393299,Other Clothing Trades Workers,59.0,41.0,,
394211,Furniture Finishers,74.0,42.0,,
394212,Picture Framers,51.0,42.0,,
394213,Wood Machinists,88.0,41.0,,
394214,Wood Turners,62.0,27.0,,
394299,Other Wood Machinists and Wood Trades Workers,64.0,38.0,,
399111,Boat Builders and Repairers,84.0,42.0,,
399112,Shipwrights,84.0,41.0,,
399211,Chemical Plant Operators,93.0,45.0,,
399212,Gas and Petroleum Operators,93.0,57.0,,
399213,Power Generation Plant Operators,94.0,45.0,,
399311,Gallery and Museum Technicians,51.0,38.0,,
399312,Library Technicians,41.0,37.0,,
399511,Broadcast Transmitter Operators,80.0,40.0,,
399512,"Camera Operators (Film, Television or Video)",55.0,45.0,,
399513,Light Technicians,55.0,45.0,,
399514,Make Up Artists,22.0,36.0,,
399515,Musical Instrument Makers and Repairers,49.0,45.0,,
399516,Sound Technicians,56.0,43.0,,
399517,Television Equipment Operators,57.0,31.0,,
399599,Other Performing Arts Technicians,70.0,47.0,,
399911,Divers,74.0,48.0,,
399912,Interior Decorators,41.0,42.0,,
399913,Optical Dispensers,34.0,39.0,,
399914,Optical Mechanics,70.0,38.0,,
399915,Photographer's Assistants,45.0,38.0,,
399916,Plastics Technicians,90.0,41.0,,
399917,Wool Classers,64.0,41.0,,
399918,Fire Protection Equipment Technicians,87.0,43.0,,
399999,Technicians and Trades Workers (not covered elsewhere),75.0,42.0,,
411111,Ambulance Officers,83.0,47.0,,
411112,Intensive Care Ambulance Paramedics,88.0,48.0,,
411211,Dental Hygienists,29.0,37.0,,
411212,Dental Prosthetists,69.0,43.0,,
411213,Dental Technicians,67.0,42.0,,
411214,Dental Therapists,45.0,40.0,,
411411,Enrolled Nurses,41.0,41.0,,
411412,Mothercraft Nurses,30.0,39.0,,
411711,Community Workers,61.0,40.0,,
411712,Disabilities Services Officers,67.0,40.0,,
411713,Family Support Workers,51.0,40.0,,
411714,Parole and Probation Officers,86.0,39.0,,
411715,Residential Care Officers,73.0,43.0,,
411716,Youth Workers,62.0,42.0,,
421111,Child Care Workers,46.0,39.0,,
421112,Family Day Care Workers,66.0,46.0,,
421113,Nannies,22.0,42.0,,
421114,Out of School Hours Care Workers,10.0,39.0,,
422111,Aboriginal and Torres Strait Islander Education Workers,45.0,38.0,,
422112,Integration Aides,23.0,39.0,,
422115,Preschool Aides,21.0,38.0,,
422116,Teachers' Aides,22.0,39.0,,
423311,Hospital orderlies,57.0,42.0,,
423312,Nursing Support Workers,36.0,42.0,,
423313,Personal Care Assistants,33.0,42.0,,
423314,Therapy Aides,28.0,40.0,,
423411,Child and Youth Residential Care Assistants,57.0,41.0,,
423412,Hostel Parents,48.0,46.0,,
423413,Refuge Workers,46.0,37.0,,
431111,Bar Attendants,23.0,42.0,,
431112,Baristas,22.0,41.0,,
431911,Bar Usefuls and Bussers,8.0,45.0,,
431912,Doorpersons and Luggage Porters,33.0,37.0,,
431999,Hospitality Workers (not covered elsewhere),24.0,42.0,,
441211,Emergency Service Workers,88.0,59.0,,
441212,Fire Fighters,93.0,47.0,,
441311,Detectives,93.0,44.0,,
441312,Police Officers,92.0,43.0,,
442211,"Alarm, Security and Surveillance Monitors",80.0,44.0,,
442212,Armoured Car Escorts,63.0,39.0,,
442213,Crowd Controllers,27.0,41.0,,
442214,Private Investigators,50.0,41.0,,
442215,Retail Loss Prevention Officers,29.0,40.0,,
442216,Security Consultants,84.0,42.0,,
442217,Security Officers,70.0,45.0,,
442299,Other Security Workers,74.0,41.0,,
451311,Funeral Directors,77.0,43.0,,
451399,Funeral Workers (Other),50.0,41.0,,
451411,Gallery and Museum Guides,20.0,39.0,,
451412,Tour Guides,41.0,46.0,,
451511,Natural Remedy Consultants,23.0,44.0,,
451512,Weight Loss Consultants,22.0,35.0,,
451513,Herbalists (Western),24.0,41.0,,
451611,Tourist Information Officers,44.0,39.0,,
451612,Travel Consultants,53.0,40.0,,
451711,Flight Attendants,36.0,40.0,,
451799,Other Travel Attendants,69.0,44.0,,
451811,Civil Celebrants,19.0,40.0,,
451812,Hair and Beauty Salon Assistants,11.0,34.0,,
451814,Body Artists,49.0,42.0,,
451815,First Aid Trainers,35.0,41.0,,
451816,Religious Assistants,32.0,40.0,,
451899,Personal Service Workers (not covered elsewhere),23.0,42.0,,
452211,Bungy Jump Masters,,,,
452212,Fishing Guides,57.0,44.0,,
452213,Hunting Guides,,,,
452214,Mountain and Glacier Guides,,,,
452215,Outdoor Adventure Instructors,49.0,45.0,,
452216,Trekking Guides,25.0,129.0,,
452217,Whitewater Rafting Guides,,,,
452299,Other Outdoor Adventure Guides,41.0,42.0,,
452311,"Scuba, Snorkelling and Dive instructors",52.0,47.0,,
452312,Gymnastics Coaches and Instructors,11.0,41.0,,
452313,Horse Riding Coaches and Instructors,39.0,44.0,,
452314,Snowsport Instructors,16.0,38.0,,
452315,Swimming Coaches and Instructors,8.0,41.0,,
452316,Tennis Coaches,20.0,42.0,,
452317,Other Sports Coaches and Instructors,27.0,45.0,,
452318,Dog and Horse Racing Officials,70.0,41.0,,
452321,Sports Development Officers,70.0,39.0,,
452322,Sports Umpires,2.0,34.0,,
452323,Other Sports Officials,27.0,37.0,,
452411,"Footballers (Soccer, Rugby and AFL)",47.0,40.0,,
452412,Golfers,64.0,43.0,,
452413,Jockeys,75.0,43.0,,
452414,Lifeguards,15.0,41.0,,
452499,Other Sportspersons,43.0,44.0,,
511111,Contract Administrators,87.0,43.0,,
511112,Program and Project Administrators,80.0,42.0,,
512211,Health Practice Managers,58.0,41.0,,
512299,Other Practice Managers,69.0,42.0,,
521211,Secretaries (General),39.0,41.0,,
521212,Legal Secretaries,59.0,39.0,,
532111,Data Entry Operators,54.0,40.0,,
532112,Machine Shorthand Reporters,42.0,39.0,,
532113,Typists,37.0,40.0,,
541111,Call Centre or Contact Centre Team Leaders,82.0,40.0,,
541112,Call Centre or Contact Centre Operators,65.0,39.0,,
542111,Receptionists (General),48.0,40.0,,
542112,Admissions Clerks,47.0,40.0,,
542113,Hotel and Motel Receptionists,37.0,40.0,,
542114,Medical Receptionists,31.0,40.0,,
551111,Accounts Clerks,63.0,40.0,,
551112,Cost Clerks,85.0,42.0,,
552311,Bookmakers,81.0,42.0,,
552312,Insurance Consultants,78.0,40.0,,
552313,Money Market Clerks,79.0,40.0,,
552314,Statistical Clerks,68.0,34.0,,
561111,Betting Agency Counter Clerks,40.0,40.0,,
561112,Bookmaker's Clerks,,,,
561113,Telephone Betting Clerks,65.0,42.0,,
561199,Other Betting Clerks,17.0,18.0,,
561211,Couriers,68.0,45.0,,
561212,Postal Delivery Officers,73.0,43.0,,
561411,Mail Clerks,59.0,40.0,,
561412,Postal Sorting Officers,65.0,42.0,,
561911,Classified Advertising Clerks,59.0,41.0,,
561912,Meter Readers,57.0,39.0,,
561913,Parking Inspectors,80.0,40.0,,
561999,Clerical and Office Support Workers (not covered elsewhere),42.0,40.0,,
591112,Production Clerks,81.0,41.0,,
591113,Purchasing Officers,84.0,41.0,,
591115,Stock Clerks,72.0,42.0,,
591116,Warehouse Administrators,86.0,43.0,,
591117,Order Clerks,74.0,40.0,,
591211,Despatching and Receiving Clerks,86.0,44.0,,
591212,Import-Export Clerks,86.0,42.0,,
599111,Conveyancers,69.0,42.0,,
599112,Legal Executives,53.0,40.0,,
599211,Clerks of Court,85.0,39.0,,
599212,Court Bailiffs and Sheriffs,79.0,39.0,,
599213,Court Orderlies,73.0,38.0,,
599214,Law Clerks,58.0,40.0,,
599215,Trust Officers,71.0,39.0,,
599511,Customs Officers,79.0,41.0,,
599512,Immigration Officers,79.0,41.0,,
599513,Motor Vehicle Licence Examiners,69.0,39.0,,
599514,Noxious Weeds and Pest Inspectors,78.0,40.0,,
599515,Social Security Assessors,72.0,42.0,,
599516,Taxation Inspectors,84.0,40.0,,
599517,Train Examiners,89.0,42.0,,
599518,Transport Operations Inspectors,90.0,41.0,,
599521,Water Inspectors,88.0,37.0,,
599599,Other Inspectors and Regulatory Officers,84.0,41.0,,
599611,Insurance Investigators,71.0,39.0,,
599612,Insurance Loss Adjusters,88.0,41.0,,
599613,Insurance Risk Surveyors,89.0,42.0,,
599912,"Production Assistants (Film, Television, Radio or Stage)",74.0,46.0,,
599913,Proof Readers,23.0,35.0,,
599914,Radio Despatchers,76.0,44.0,,
599915,Clinical Coders,59.0,40.0,,
599916,Facilities Administrators,83.0,40.0,,
599999,Clerical and Administrative Workers (not covered elsewhere),52.0,41.0,,
611111,Auctioneers,82.0,46.0,,
611112,Stock and Station Agents,90.0,49.0,,
611311,Sales Representatives (Building and Plumbing Supplies),89.0,42.0,,
611312,Sales Representatives (Business Services),82.0,42.0,,
611313,Sales Representatives (Motor Vehicle Parts and Accessories),88.0,43.0,,
611314,Sales Representatives (Personal and Household Goods),79.0,42.0,,
611399,Other Sales Representatives,82.0,42.0,,
612111,Business Brokers,64.0,42.0,,
612112,Property Managers,72.0,42.0,,
612113,Real Estate Agency Principals,78.0,48.0,,
612114,Real Estate Agents,79.0,46.0,,
612115,Real Estate Representatives,75.0,45.0,,
621311,Motor Vehicle and Caravan Salespersons,77.0,45.0,,
621312,Motor Vehicle Parts Interpreters,82.0,42.0,,
621711,Cash Van Salespersons,58.0,46.0,,
621712,Door-to-door Salespersons,45.0,42.0,,
621713,Street Vendors,28.0,49.0,,
621911,Materials Recyclers,63.0,44.0,,
621912,Rental Salespersons,60.0,41.0,,
621999,Sales Assistants and Salespersons (not covered elsewhere),71.0,44.0,,
631111,Checkout Operators,12.0,39.0,,
631112,Cashiers,20.0,42.0,,
639111,Models,17.0,32.0,,
639112,Sales Demonstrators,21.0,41.0,,
639211,Retail Buyers,84.0,43.0,,
639212,Wool Buyers,73.0,42.0,,
639411,Ticket Sellers,40.0,41.0,,
639412,Transport Conductors,90.0,39.0,,
711111,Clay Products Machine Operators,89.0,44.0,,
711112,Concrete Products Machine Operators,88.0,46.0,,
711113,Glass Production Machine Operators,88.0,41.0,,
711114,Stone Processing Machine Operators,82.0,37.0,,
711199,"Other Clay, Concrete, Glass and Stone Processing Machine Operators",88.0,40.0,,
711311,Paper Products Machine Operators,90.0,42.0,,
711313,Sawmilling Operators,86.0,42.0,,
711314,Other Wood Processing Machine Operators,85.0,43.0,,
711511,Plastic Cablemaking Machine Operators,89.0,48.0,,
711512,Plastic Compounding and Reclamation Machine Operators,88.0,37.0,,
711513,Plastics Fabricators and Welders,87.0,48.0,,
711514,Plastics Production Machine Operators (General),89.0,42.0,,
711515,Reinforced Plastic and Composite Production Workers,84.0,42.0,,
711516,Rubber Production Machine Operators,92.0,51.0,,
711599,Other Plastics and Rubber Production Machine Operators,87.0,36.0,,
711711,Footwear Production Machine Operators,67.0,38.0,,
711712,Hide and Skin Processing Machine Operators,83.0,35.0,,
711713,Knitting Machine Operators,70.0,33.0,,
711714,Textile Dyeing and Finishing Machine Operators,71.0,26.0,,
711715,Weaving Machine Operators,78.0,37.0,,
711716,Yarn Carding and Spinning Machine Operators,95.0,58.0,,
711799,Other Textile and Footwear Production Machine Operators,74.0,38.0,,
711911,Chemical Production Machine Operators,79.0,44.0,,
711912,Motion Picture Projectionists,28.0,14.0,,
711913,Sand Blasters,83.0,42.0,,
