ï»¿Locality,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025Updating,2023-24 change_percentage,2014-24 Percentage, 2014-24 Anual Percentage,SAL_CODE21
COBURG NORTH,540000.0,600000.0,665000.0,780000.0,822000.0,814000.0,805000.0,899000,1008500,1020000,985000.0,1071000.0,1071000.0,9.0,79.0,6.0,20597
COCKATOO,355000.0,365000.0,385500.0,430000.0,539500.0,591000.0,580000.0,610000,730500,770000,760000.0,737500.0,737500.0,3.0,102.0,7.3,20600
COHUNA,139000.0,175000.0,175000.0,157500.0,180000.0,177500.0,204000.0,232500,260000,285000,325000.0,350000.0,350000.0,8.0,100.0,7.2,20604
COLAC,226500.0,235000.0,246500.0,259500.0,282500.0,320000.0,315000.0,350000,420000,500000,481000.0,463000.0,463000.0,4.0,97.0,7.0,20607
COLDSTREAM,385000.0,405000.0,441000.0,521000.0,597500.0,660000.0,635000.0,648000,767000,780000,805000.0,826000.0,826000.0,3.0,104.0,7.4,20613
COLERAINE,118000.0,95000.0,96000.0,90000.0,133000.0,114000.0,144000.0,127000,174000,282000,205000.0,265000.0,265000.0,29.0,179.0,10.8,20614
COLLINGWOOD,741000.0,775000.0,914000.0,920000.0,1205000.0,1110000.0,1060000.0,1155000,1251500,1302000,1225000.0,1184000.0,1184000.0,3.0,53.0,4.3,20616
CONNEWARRE,612500.0,722500.0,800000.0,892000.0,955000.0,1200000.0,1345000.0,1647500,1625000,2570000,,,,,,,20621
COOLAROO,290000.0,290000.0,302500.0,340000.0,451000.0,480000.0,441000.0,477000,500000,530000,530500.0,540000.0,540000.0,2.0,86.0,6.4,20624
COONGULLA,150000.0,205000.0,189000.0,185000.0,192000.0,242000.0,335000.0,285000,280000,377500,,,,,,,20628
CORINELLA,330000.0,270000.0,370000.0,325000.0,391000.0,450000.0,357500.0,510000,670000,777500,695000.0,657500.0,657500.0,5.0,144.0,9.3,20639
CORIO,230000.0,242000.0,240000.0,250000.0,305000.0,370000.0,351500.0,390000,457000,520000,480000.0,488000.0,488000.0,2.0,102.0,7.3,20640
CORONET BAY,251000.0,249000.0,240000.0,266000.0,325500.0,345000.0,370000.0,407500,522500,635000,580000.0,520000.0,520000.0,10.0,109.0,7.6,20644
CORRYONG,166500.0,135000.0,160000.0,164000.0,180000.0,162500.0,236000.0,226500,240000,310000,320000.0,316500.0,316500.0,1.0,134.0,8.9,20648
COWES,387500.0,357500.0,412500.0,400000.0,440000.0,541000.0,557500.0,589500,880000,875000,800000.0,801000.0,801000.0,0.0,124.0,8.4,20657
CRAIGIEBURN,360000.0,362000.0,390000.0,425000.0,502500.0,546500.0,525000.0,560000,616000,660000,650000.0,660000.0,660000.0,2.0,82.0,6.2,20661
CRANBOURNE,315000.0,331500.0,360000.0,406000.0,510000.0,540000.0,500000.0,510000,618000,660000,655000.0,660000.0,660000.0,1.0,99.0,7.1,20662
CRANBOURNE EAST,390000.0,410000.0,437000.0,460000.0,535000.0,574500.0,567000.0,590000,670000,720000,708000.0,720000.0,720000.0,2.0,76.0,5.8,20663
CRANBOURNE NORTH,370000.0,375000.0,410000.0,455000.0,541000.0,600000.0,570000.0,587500,653500,720000,710000.0,732000.0,732000.0,3.0,95.0,6.9,20664
CRANBOURNE SOUTH,455000.0,455000.0,685000.0,685000.0,600000.0,425000.0,632500.0,634000,710000,795000,721000.0,730000.0,730000.0,1.0,60.0,4.8,20665
CRANBOURNE WEST,330000.0,335000.0,350000.0,410000.0,510500.0,540000.0,508000.0,510000,600000,680000,660000.0,685000.0,685000.0,4.0,104.0,7.4,20666
CREMORNE,821000.0,886500.0,1030000.0,1072000.0,1230000.0,1420000.0,1290000.0,1410000,1500000,1315000,1335000.0,1237500.0,1237500.0,7.0,40.0,3.4,20670
CRESWICK,245000.0,270000.0,265000.0,292500.0,311500.0,324000.0,350000.0,387500,500000,545000,525000.0,515000.0,515000.0,2.0,91.0,6.7,20672
CRIB POINT,355000.0,339000.0,350000.0,402000.0,502500.0,555000.0,527500.0,578500,740000,785000,755000.0,745000.0,745000.0,1.0,120.0,8.2,20674
CROYDON,470000.0,525000.0,605000.0,695000.0,809000.0,792500.0,735000.0,787500,920000,900000,920000.0,923000.0,923000.0,0.0,76.0,5.8,20682
CROYDON HILLS,571500.0,606000.0,697000.0,730000.0,875000.0,877500.0,835000.0,920000,1100000,1107000,1182500.0,1190000.0,1190000.0,1.0,96.0,7.0,20683
CROYDON NORTH,540500.0,600000.0,702500.0,790500.0,872000.0,840000.0,827500.0,860500,1050000,1069000,1075000.0,1095000.0,1095000.0,2.0,83.0,6.2,20684
CROYDON SOUTH,442000.0,530000.0,600000.0,655000.0,800000.0,757500.0,715500.0,740000,890000,864000,890000.0,915000.0,915000.0,3.0,73.0,5.6,20685
CURLEWIS,385500.0,382500.0,387000.0,405000.0,426000.0,495000.0,565000.0,572500,650000,705000,670000.0,650000.0,650000.0,3.0,70.0,5.4,20697
DALLAS,280000.0,295000.0,321500.0,345000.0,430000.0,490000.0,451500.0,467500,526500,524500,510000.0,550000.0,550000.0,8.0,86.0,6.4,20702
DALYSTON,245000.0,260000.0,257000.0,255000.0,273500.0,305000.0,373000.0,421000,536000,580000,527500.0,540000.0,540000.0,2.0,108.0,7.6,20706
DANDENONG,405000.0,439000.0,485000.0,555500.0,620000.0,640000.0,601000.0,630000,700000,740000,693000.0,720500.0,720500.0,4.0,64.0,5.1,20707
DANDENONG NORTH,390000.0,415500.0,481000.0,551000.0,633500.0,640000.0,606500.0,640000,729000,738500,725000.0,756000.0,756000.0,4.0,82.0,6.2,20708
DARLEY,330500.0,360000.0,377500.0,371500.0,430000.0,505000.0,520000.0,500000,610000,710000,707000.0,640000.0,640000.0,9.0,78.0,5.9,20712
DAYLESFORD,385000.0,401500.0,442500.0,464000.0,502000.0,552500.0,592500.0,692500,835000,910000,899000.0,847500.0,847500.0,6.0,111.0,7.8,20721
DEANSIDE,,,,,340000.0,456500.0,335000.0,499500,540000,585000,640000.0,665000.0,665000.0,4.0,,,20724
DEEPDENE,1981000.0,2215000.0,2750000.0,2600000.0,2862500.0,2692500.0,2858000.0,3150000,3262500,3001000,3030500.0,3633000.0,3633000.0,20.0,64.0,5.1,20728
DEER PARK,348000.0,365000.0,390000.0,441000.0,552500.0,580000.0,550000.0,580000,630000,635000,640000.0,657500.0,657500.0,3.0,80.0,6.1,20729
DELACOMBE,280000.0,292000.0,290000.0,319000.0,325000.0,360000.0,390000.0,410000,525000,570000,527500.0,525000.0,525000.0,0.0,80.0,6.0,20730
DELAHEY,372500.0,370000.0,400000.0,458000.0,545000.0,575000.0,530000.0,575000,645000,650000,639000.0,642500.0,642500.0,1.0,74.0,5.7,20731
DENNINGTON,320000.0,315000.0,345000.0,342500.0,345000.0,355000.0,360000.0,395000,485000,616500,583500.0,615000.0,615000.0,5.0,95.0,6.9,20737
DERRIMUT,417000.0,435000.0,466000.0,530000.0,635000.0,615000.0,649000.0,658000,715000,770000,740000.0,750000.0,750000.0,1.0,72.0,5.6,20743
DIAMOND CREEK,513000.0,550000.0,580000.0,646500.0,755000.0,782500.0,750500.0,797500,1000000,994500,983500.0,1090000.0,1090000.0,11.0,98.0,7.1,20752
DIGGERS REST,280000.0,325000.0,325000.0,360000.0,440500.0,500000.0,515000.0,560000,614000,657500,660000.0,655000.0,655000.0,1.0,102.0,7.3,20754
DIMBOOLA,89000.0,90500.0,109500.0,107000.0,122500.0,130000.0,120000.0,154000,200000,247000,281000.0,260000.0,260000.0,7.0,187.0,11.1,20756
DINGLEY VILLAGE,553500.0,607000.0,690000.0,775500.0,887000.0,840500.0,810000.0,934000,1050000,1112000,1090000.0,1124500.0,1124500.0,3.0,85.0,6.4,20758
DINNER PLAIN,390000.0,309000.0,359000.0,400000.0,412500.0,510000.0,520000.0,565000,765000,975000,1200000.0,1097500.0,1097500.0,9.0,255.0,13.5,20760
DONALD,140000.0,120000.0,125000.0,145000.0,122000.0,145000.0,135500.0,145000,170000,225000,240000.0,240000.0,240000.0,0.0,100.0,7.2,20770
DONCASTER,850500.0,999000.0,1176000.0,1297500.0,1366500.0,1320000.0,1270000.0,1280000,1502000,1500000,1547500.0,1480500.0,1480500.0,4.0,48.0,4.0,20771
DONCASTER EAST,789000.0,894500.0,1113500.0,1230000.0,1360000.0,1222000.0,1198000.0,1255000,1500000,1535000,1630000.0,1603500.0,1603500.0,2.0,79.0,6.0,20772
DONNYBROOK,,,,,,530000.0,540000.0,620000,600000,665000,650000.0,650000.0,650000.0,0.0,,,20773
DONVALE,735000.0,840000.0,964000.0,970000.0,1200000.0,1182500.0,1140000.0,1195000,1337500,1440000,1438000.0,1514000.0,1514000.0,5.0,80.0,6.1,20774
DOREEN,415000.0,430000.0,440000.0,470000.0,550000.0,601000.0,598000.0,623500,705000,741500,728000.0,751000.0,751000.0,3.0,75.0,5.7,20779
DOVETON,302000.0,310500.0,348000.0,405000.0,490000.0,543500.0,472000.0,500000,582500,625000,561500.0,600000.0,600000.0,7.0,93.0,6.8,20783
DROMANA,462000.0,492000.0,551000.0,583000.0,690000.0,786000.0,715000.0,762500,1000000,1100000,1055000.0,1000000.0,1000000.0,5.0,103.0,7.4,20788
DROUIN,300000.0,311000.0,320000.0,347000.0,390000.0,455000.0,440000.0,467000,565000,620000,621500.0,605000.0,605000.0,3.0,95.0,6.9,20790
DRYSDALE,380000.0,401500.0,410000.0,410000.0,440000.0,522500.0,575500.0,590000,682500,747000,717000.0,685000.0,685000.0,4.0,71.0,5.5,20802
DUNOLLY,182500.0,170000.0,167500.0,180000.0,179000.0,206500.0,234500.0,209500,265000,320000,335000.0,325000.0,325000.0,3.0,91.0,6.7,20813
EAGLE POINT,227000.0,267000.0,341500.0,255000.0,250000.0,290000.0,354000.0,394500,409500,580000,530000.0,570000.0,570000.0,8.0,113.0,7.9,20822
EAGLEHAWK,264000.0,273000.0,283000.0,270000.0,295000.0,315000.0,321500.0,360000,440000,510000,485000.0,514500.0,514500.0,6.0,88.0,6.5,20823
EAGLEMONT,1340000.0,1522000.0,1740000.0,1901000.0,1963000.0,1955000.0,1863000.0,2029000,2385000,2425000,2551000.0,2200000.0,2200000.0,14.0,45.0,3.8,20825
EAST BAIRNSDALE,226000.0,160000.0,202500.0,212500.0,222000.0,227000.0,235000.0,320000,355000,380000,347500.0,392500.0,392500.0,13.0,145.0,9.4,20827
EAST BENDIGO,285000.0,330000.0,300000.0,303500.0,335000.0,318000.0,390000.0,389500,465000,570000,551500.0,571500.0,571500.0,4.0,73.0,5.6,20828
EAST GEELONG,450000.0,426500.0,440000.0,515500.0,600000.0,637500.0,632500.0,815000,920000,846000,835000.0,795000.0,795000.0,5.0,86.0,6.4,20829
EAST MELBOURNE,1790000.0,1850000.0,2750000.0,3655000.0,3585000.0,2675000.0,3090000.0,2862500,3300000,3127500,3171500.0,3650000.0,3650000.0,15.0,97.0,7.0,20830
EAST WARBURTON,289500.0,275000.0,305000.0,369000.0,392500.0,428500.0,458000.0,532500,645000,620000,660000.0,570000.0,570000.0,14.0,107.0,7.6,20833
EASTWOOD,335000.0,342000.0,335000.0,357500.0,380000.0,385000.0,410000.0,417000,535000,590000,599000.0,595000.0,595000.0,1.0,74.0,5.7,20836
ECHUCA,285000.0,285000.0,300000.0,310000.0,320000.0,365000.0,372500.0,412000,467500,555000,580000.0,560000.0,560000.0,3.0,96.0,7.0,20838
EDENHOPE,160000.0,130000.0,115000.0,144500.0,160000.0,147000.0,169500.0,143000,206500,225000,266000.0,255000.0,255000.0,4.0,96.0,7.0,20844
EDITHVALE,615000.0,670000.0,766000.0,930000.0,1058500.0,1047500.0,950000.0,1029500,1240000,1362500,1270500.0,1310000.0,1310000.0,3.0,96.0,6.9,20848
EILDON,210000.0,205000.0,208500.0,210000.0,225000.0,258000.0,251500.0,285000,350000,430000,450000.0,422500.0,422500.0,6.0,106.0,7.5,20850
ELLIMINYT,332000.0,313000.0,318000.0,364000.0,366500.0,385000.0,445000.0,470000,517000,675000,750000.0,575000.0,575000.0,23.0,84.0,6.3,20859
ELMORE,184000.0,178000.0,200000.0,220000.0,162000.0,227500.0,235000.0,245000,332500,405000,358000.0,324000.0,324000.0,10.0,82.0,6.2,20862
ELSTERNWICK,1365000.0,1315000.0,1621000.0,1723500.0,2087500.0,1970000.0,1825000.0,2081000,2175000,2265000,2240000.0,1953000.0,1953000.0,13.0,49.0,4.0,20864
ELTHAM,631500.0,670000.0,750000.0,815000.0,930000.0,942500.0,928000.0,995000,1234500,1255000,1190000.0,1245500.0,1245500.0,5.0,86.0,6.4,20865
ELTHAM NORTH,622000.0,680000.0,758000.0,854500.0,900000.0,930500.0,930000.0,1050000,1237500,1237000,1250000.0,1244000.0,1244000.0,0.0,83.0,6.2,20866
ELWOOD,1350000.0,1412500.0,1631000.0,1841500.0,1900000.0,2140000.0,1950000.0,2110000,2216500,2605000,2210000.0,2075000.0,2075000.0,6.0,47.0,3.9,20867
EMERALD,440000.0,449500.0,502000.0,545000.0,660500.0,730000.0,660000.0,732500,881000,950000,860000.0,902500.0,902500.0,5.0,101.0,7.2,20868
ENDEAVOUR HILLS,400000.0,432000.0,496500.0,550000.0,630500.0,651000.0,620000.0,672000,750000,815000,790500.0,815000.0,815000.0,3.0,89.0,6.6,20871
EPPING,366500.0,386500.0,400000.0,455000.0,556500.0,600000.0,546000.0,577000,654000,677000,668000.0,680500.0,680500.0,2.0,76.0,5.8,20878
EPSOM,322500.0,342500.0,340000.0,340000.0,352000.0,357000.0,371500.0,431000,530000,600000,585000.0,595000.0,595000.0,2.0,74.0,5.7,20879
ESSENDON,870000.0,942000.0,1228000.0,1365000.0,1400000.0,1691000.0,1450000.0,1520000,1750000,1841000,1795000.0,1741500.0,1741500.0,3.0,85.0,6.3,20885
ESSENDON NORTH,725000.0,840000.0,808000.0,875000.0,1100000.0,1145000.0,1100000.0,1260000,1400000,1510000,1212000.0,1231000.0,1231000.0,2.0,47.0,3.9,20887
ESSENDON WEST,720000.0,785000.0,920000.0,962500.0,1296000.0,1221000.0,1180000.0,1275000,1390000,1265500,1165000.0,1675000.0,1675000.0,44.0,113.0,7.9,20888
EUMEMMERRING,353000.0,365000.0,408500.0,450500.0,517500.0,622000.0,540000.0,550000,628000,750500,645000.0,645000.0,645000.0,0.0,77.0,5.9,20889
EUREKA,243500.0,259000.0,247500.0,275000.0,251500.0,315500.0,360000.0,412500,430000,490000,523000.0,425000.0,425000.0,19.0,64.0,5.1,20891
EUROA,208000.0,230000.0,235500.0,265000.0,239000.0,270000.0,309000.0,360000,407500,475000,492500.0,550000.0,550000.0,12.0,139.0,9.1,20892
EYNESBURY,390500.0,390000.0,403500.0,459000.0,484000.0,550000.0,558500.0,600000,676500,710000,667500.0,715000.0,715000.0,7.0,83.0,6.2,20899
FAIRFIELD,915000.0,945000.0,1111500.0,1303000.0,1496000.0,1316000.0,1295000.0,1395500,1700000,1800000,1585000.0,1625000.0,1625000.0,3.0,72.0,5.6,20901
FAWKNER,410000.0,444000.0,510000.0,587500.0,705000.0,720000.0,665000.0,715000,815000,770000,770000.0,780000.0,780000.0,1.0,76.0,5.8,20909
FERNTREE GULLY,451000.0,505000.0,599000.0,660000.0,749000.0,732500.0,692000.0,750000,865000,873000,890000.0,888500.0,888500.0,0.0,76.0,5.8,20917
FERNY CREEK,497500.0,492500.0,621000.0,735000.0,798000.0,830000.0,800000.0,908000,1120000,940000,906500.0,1092500.0,1092500.0,21.0,122.0,8.3,20918
FINGAL,677500.0,730000.0,857500.0,840000.0,1000000.0,1350000.0,1240000.0,1312500,1807500,1975000,1995000.0,1762500.0,1762500.0,12.0,141.0,9.2,20920
FITZROY,945000.0,1130000.0,1297500.0,1600000.0,1625000.0,1450000.0,1400000.0,1400000,1520000,1502500,1530000.0,1750000.0,1750000.0,14.0,55.0,4.5,20924
FITZROY NORTH,976000.0,1014000.0,1188000.0,1279000.0,1450000.0,1475000.0,1385000.0,1600000,1706000,1632500,1605000.0,1540000.0,1540000.0,4.0,52.0,4.3,20925
FLEMINGTON,735500.0,730000.0,830000.0,918000.0,1100000.0,926500.0,1000000.0,1028500,1250000,1103500,1017000.0,1085000.0,1085000.0,7.0,49.0,4.0,20929
FLINDERS,765000.0,808000.0,839000.0,1225000.0,1525000.0,1697500.0,1670000.0,2085000,2667500,3342000,2800000.0,2500000.0,2500000.0,11.0,209.0,12.0,20930
FLORA HILL,310000.0,323500.0,321000.0,325000.0,335000.0,352500.0,370000.0,395000,481000,550000,520000.0,530000.0,530000.0,2.0,64.0,5.1,20931
FLOWERDALE,292500.0,170000.0,255000.0,237500.0,310000.0,390000.0,287500.0,400000,475000,530000,595000.0,635000.0,635000.0,7.0,274.0,14.1,20932
FOOTSCRAY,600000.0,645000.0,690500.0,775000.0,883500.0,899000.0,812000.0,863500,962500,990000,920000.0,960000.0,960000.0,4.0,49.0,4.1,20935
FOREST HILL,650500.0,721000.0,892000.0,933500.0,1060000.0,935000.0,900000.0,986000,1207500,1155500,1251000.0,1200000.0,1200000.0,4.0,66.0,5.2,20937
FOSTER,298000.0,315000.0,325000.0,315000.0,320000.0,333500.0,330000.0,387500,457500,595000,590000.0,567500.0,567500.0,4.0,80.0,6.1,20940
FRANKSTON,350000.0,372000.0,426000.0,474000.0,600000.0,605000.0,581000.0,621500,750000,764500,736000.0,740000.0,740000.0,1.0,99.0,7.1,20947
FRANKSTON NORTH,255000.0,269000.0,297000.0,352000.0,470000.0,502000.0,423000.0,450000,580000,610000,574000.0,595000.0,595000.0,4.0,121.0,8.3,20948
FRANKSTON SOUTH,535000.0,560000.0,620000.0,690000.0,815500.0,855000.0,817500.0,860000,1150000,1200000,1160000.0,1150000.0,1150000.0,1.0,105.0,7.5,20949
FRASER RISE,455000.0,490000.0,465000.0,483000.0,541000.0,615000.0,595000.0,620000,675000,719000,715000.0,702500.0,702500.0,2.0,43.0,3.7,20950
FYANSFORD,386500.0,478000.0,688000.0,592500.0,610000.0,650000.0,660000.0,800500,845000,1065000,950000.0,972500.0,972500.0,2.0,103.0,7.4,20960
GARDENVALE,1150000.0,1180000.0,1348000.0,1857500.0,1880000.0,1830000.0,1740000.0,1900000,2120000,2005000,2300000.0,1810000.0,1810000.0,21.0,53.0,4.4,20965
GARFIELD,405000.0,355000.0,370000.0,405000.0,414500.0,540000.0,518000.0,590000,715000,789000,815000.0,690000.0,690000.0,15.0,94.0,6.9,20966
GEELONG,500000.0,512000.0,607500.0,590000.0,735000.0,757500.0,720000.0,883500,950000,900000,991500.0,870000.0,870000.0,12.0,70.0,5.4,20973
GEELONG WEST,440000.0,469000.0,490000.0,543500.0,654000.0,713000.0,675000.0,749500,882500,997000,910000.0,860000.0,860000.0,5.0,83.0,6.3,20974
GEMBROOK,344000.0,400000.0,440000.0,525000.0,565000.0,610000.0,650000.0,680000,789500,862500,852500.0,890000.0,890000.0,4.0,123.0,8.3,20979
GISBORNE,496000.0,510000.0,550000.0,635000.0,655000.0,770000.0,730000.0,810000,898500,1052500,1000000.0,915000.0,915000.0,9.0,79.0,6.0,21001
GLADSTONE PARK,392500.0,400000.0,460000.0,525000.0,645000.0,630000.0,636500.0,640000,728000,730000,710000.0,712500.0,712500.0,0.0,78.0,5.9,21004
GLEN HUNTLY,977500.0,1135000.0,1350000.0,1330000.0,1415000.0,1253000.0,1440000.0,1342500,2002500,1570000,1735500.0,1535000.0,1535000.0,12.0,35.0,3.1,21009
GLEN IRIS,1310000.0,1500000.0,1800000.0,1935000.0,2025000.0,1927500.0,1967000.0,2136000,2492500,2500000,2500000.0,2370000.0,2370000.0,5.0,58.0,4.7,21010
GLEN WAVERLEY,815000.0,960000.0,1212500.0,1221000.0,1337500.0,1300000.0,1287500.0,1304000,1558500,1560000,1659000.0,1660000.0,1660000.0,0.0,73.0,5.6,21013
GLENGARRY,232500.0,283000.0,286000.0,277500.0,310000.0,300000.0,324000.0,388000,490000,576500,590000.0,450000.0,450000.0,24.0,59.0,4.7,21025
GLENROWAN,230000.0,239000.0,225000.0,272500.0,300000.0,265000.0,372500.0,375000,500000,517000,595000.0,575500.0,575500.0,3.0,141.0,9.2,21045
GLENROY,454000.0,500000.0,560000.0,600000.0,730000.0,725000.0,700000.0,740000,835000,850000,792500.0,827000.0,827000.0,4.0,65.0,5.2,21047
GOLDEN BEACH,169500.0,172500.0,180000.0,212500.0,209500.0,225500.0,220000.0,270000,325000,355000,395000.0,410000.0,410000.0,4.0,138.0,9.1,21054
GOLDEN POINT (BALLARAT),265000.0,265000.0,259500.0,295000.0,302500.0,347500.0,370000.0,430000,510000,545000,570000.0,467500.0,467500.0,18.0,76.0,5.8,21056
GOLDEN SQUARE,295000.0,305000.0,306000.0,315000.0,320000.0,334000.0,340000.0,377500,469500,542500,515000.0,520000.0,520000.0,1.0,70.0,5.5,21058
GORDON,278500.0,303000.0,290000.0,330000.0,404000.0,402500.0,495000.0,618000,632500,690000,675000.0,600000.0,600000.0,11.0,98.0,7.1,21073
GOUGHS BAY,257500.0,247500.0,265000.0,235000.0,257500.0,345500.0,299500.0,360000,499500,710000,580000.0,540000.0,540000.0,7.0,118.0,8.1,21077
GOWANBRAE,620000.0,557500.0,573000.0,619000.0,790000.0,727500.0,700500.0,739000,940000,902500,865000.0,1025000.0,1025000.0,18.0,84.0,6.3,21079
GRANTVILLE,215000.0,255000.0,250000.0,272500.0,339500.0,402500.0,397500.0,440000,540000,620000,595000.0,590000.0,590000.0,1.0,131.0,8.8,21089
GREENSBOROUGH,534000.0,574000.0,635000.0,717000.0,830000.0,815000.0,798000.0,850000,1001000,1000000,980000.0,1020000.0,1020000.0,4.0,78.0,5.9,21104
GREENVALE,550000.0,539500.0,500000.0,510000.0,650000.0,720000.0,715000.0,720000,820000,881000,840000.0,870000.0,870000.0,4.0,61.0,4.9,21105
GROVEDALE,352000.0,362000.0,370000.0,400000.0,432000.0,495000.0,505000.0,550000,655000,700000,660000.0,665000.0,665000.0,1.0,84.0,6.3,21114
HADFIELD,461500.0,500000.0,550000.0,624500.0,740500.0,741500.0,730000.0,745000,890000,888000,850000.0,850500.0,850500.0,0.0,70.0,5.5,21124
HALLAM,362500.0,380000.0,424000.0,455000.0,580000.0,630000.0,550000.0,600000,700000,720000,720000.0,750000.0,750000.0,4.0,97.0,7.0,21125
HALLS GAP,184500.0,224500.0,245000.0,272500.0,280000.0,355000.0,320000.0,350000,465000,570000,555000.0,620500.0,620500.0,12.0,176.0,10.7,21127
HAMILTON,192500.0,200000.0,200000.0,216000.0,190000.0,225000.0,209500.0,255000,339000,357000,370000.0,380000.0,380000.0,3.0,90.0,6.6,21129
HAMLYN HEIGHTS,363500.0,366500.0,382500.0,415000.0,500000.0,545000.0,540000.0,563500,708000,769500,745000.0,696500.0,696500.0,7.0,90.0,6.6,21130
HAMPTON,1270000.0,1340000.0,1650000.0,1800000.0,2020000.0,1905000.0,1900000.0,2000000,2420000,2341000,2385000.0,2480000.0,2480000.0,4.0,85.0,6.3,21131
HAMPTON EAST,770000.0,862500.0,1020000.0,1200000.0,1340000.0,1230000.0,1211500.0,1290500,1512500,1610000,1490000.0,1430000.0,1430000.0,4.0,66.0,5.2,21132
HAMPTON PARK,330000.0,337500.0,370000.0,410000.0,505000.0,550000.0,501500.0,539000,620000,665000,644000.0,675000.0,675000.0,5.0,100.0,7.2,21133
HARCOURT,309000.0,358000.0,295000.0,377500.0,385000.0,375000.0,420000.0,527500,604000,705000,697500.0,660000.0,660000.0,5.0,84.0,6.3,21137
HARKNESS,330000.0,340000.0,350000.0,360000.0,420000.0,485000.0,475000.0,490000,535000,595000,580000.0,570000.0,570000.0,2.0,68.0,5.3,21140
HASTINGS,345000.0,368000.0,365000.0,400000.0,507500.0,519500.0,506000.0,562000,651000,736500,715000.0,670000.0,670000.0,6.0,82.0,6.2,21145
HAWTHORN,1575000.0,1606500.0,1916500.0,2245000.0,2650000.0,2506500.0,2200000.0,2525000,2900000,2495000,2910000.0,2900000.0,2900000.0,0.0,81.0,6.1,21152
HAWTHORN EAST,1247500.0,1554000.0,1850000.0,1890000.0,2350000.0,2221500.0,2087500.0,2383000,2300000,2655000,2770000.0,2585000.0,2585000.0,7.0,66.0,5.2,21153
HEALESVILLE,385500.0,400000.0,447500.0,457000.0,550000.0,601000.0,580000.0,602500,750000,810000,800000.0,775000.0,775000.0,3.0,94.0,6.8,21158
HEATHCOTE,227500.0,260000.0,240000.0,268500.0,275000.0,310000.0,335000.0,365000,390000,480000,485000.0,502500.0,502500.0,4.0,93.0,6.8,21160
HEATHCOTE JUNCTION,372500.0,422000.0,380000.0,437500.0,567000.0,594500.0,600000.0,738000,885000,905000,,,,,,,21161
HEATHERTON,630000.0,712000.0,771000.0,845000.0,981000.0,935000.0,965000.0,964000,1140000,1147000,1150000.0,1100000.0,1100000.0,4.0,55.0,4.4,21163
HEATHMONT,589000.0,638000.0,760000.0,789000.0,925000.0,932000.0,873000.0,930000,1094000,1077000,1068000.0,1035000.0,1035000.0,3.0,62.0,5.0,21165
HEIDELBERG,772500.0,831000.0,1060000.0,1150000.0,1280000.0,1114000.0,1107500.0,1283000,1500000,1435000,1437500.0,1374000.0,1374000.0,4.0,65.0,5.2,21167
HEIDELBERG HEIGHTS,536000.0,554000.0,675500.0,750000.0,843000.0,820000.0,790000.0,805000,1000000,1030000,1000000.0,960000.0,960000.0,4.0,73.0,5.6,21168
HEIDELBERG WEST,425500.0,461000.0,580000.0,630000.0,730000.0,700000.0,670000.0,719500,810000,803500,751000.0,797000.0,797000.0,6.0,73.0,5.6,21169
HEPBURN,291000.0,330000.0,395000.0,377000.0,440000.0,425000.0,452500.0,535000,695000,675000,737500.0,717500.0,717500.0,3.0,117.0,8.1,21172
HEPBURN SPRINGS,340000.0,350000.0,380000.0,418000.0,515000.0,490000.0,595000.0,570000,825000,900000,780000.0,963000.0,963000.0,23.0,175.0,10.7,21173
HERNE HILL,350000.0,357000.0,368500.0,402000.0,490000.0,550000.0,534000.0,600000,738000,765000,715000.0,686500.0,686500.0,4.0,92.0,6.8,21174
HEYFIELD,200000.0,180000.0,182500.0,195000.0,178500.0,193000.0,195000.0,230000,330000,370000,390000.0,335000.0,335000.0,14.0,86.0,6.4,21179
HEYWOOD,142000.0,150000.0,173000.0,160000.0,164000.0,166000.0,178000.0,185000,240000,322500,330000.0,330000.0,330000.0,0.0,120.0,8.2,21181
HIGHETT,750000.0,850000.0,992500.0,1175000.0,1318500.0,1275000.0,1234000.0,1325000,1585000,1477500,1455000.0,1456000.0,1456000.0,0.0,71.0,5.5,21185
HIGHTON,477000.0,510000.0,505000.0,555000.0,622500.0,681000.0,690000.0,744000,887000,950000,913500.0,863500.0,863500.0,5.0,69.0,5.4,21187
HILLSIDE (BRIMBANK),380000.0,365000.0,450000.0,437500.0,535000.0,645000.0,525500.0,545000,620000,655000,,,,,,,21193
HILLSIDE (MELTON),433500.0,445000.0,471000.0,537000.0,622000.0,648500.0,643500.0,690000,740000,800000,758000.0,789500.0,789500.0,4.0,77.0,5.9,21193
HOPETOUN,88000.0,95500.0,75000.0,80000.0,92000.0,86000.0,66000.0,150000,157000,189000,171000.0,211500.0,211500.0,24.0,121.0,8.3,21201
HOPPERS CROSSING,321500.0,340000.0,365500.0,415000.0,516000.0,552000.0,526500.0,550000,585000,620000,615000.0,620000.0,620000.0,1.0,82.0,6.2,21203
HORSHAM,215000.0,215000.0,240000.0,245000.0,262500.0,255000.0,269000.0,260000,345000,379000,400000.0,382500.0,382500.0,4.0,78.0,5.9,21206
HUGHESDALE,820000.0,856000.0,1165000.0,1222500.0,1407000.0,1260000.0,1150500.0,1300000,1507500,1500000,1422000.0,1421000.0,1421000.0,0.0,66.0,5.2,21214
