ServiceApprovalNumber,Provider Approval Number,ServiceName,ProviderLegalName,ServiceType,ServiceAddress,Suburb,State,Postcode,Phone,Fax,Conditions on Approval,NumberOfApprovedPlaces,ServiceApprovalGrantedDate,QualityArea1Rating,QualityArea2Rating,QualityArea3Rating,QualityArea4Rating,QualityArea5Rating,QualityArea6Rating,QualityArea7Rating,OverallRating,RatingsIssued,PreviousQualityArea1Rating,PreviousQualityArea2Rating,PreviousQualityArea3Rating,PreviousQualityArea4Rating,PreviousQualityArea5Rating,PreviousQualityArea6Rating,PreviousQualityArea7Rating,PreviousOverallRating,PreviousRatingsIssued,Last Service Approval Transfer Date,Long Day Care,Preschool/Kindergarten - Part of a School,Preschool/Kindergarten - Stand alone,Outside school Hours Care - After School,Outside school Hours Care - Before School,Outside school Hours Care - Vacation Care,Other,Annual Monday Start Time,Annual Monday End Time,Annual Tuesday Start Time,Annual Tuesday End Time,Annual Wednesday Start Time,Annual Wednesday End Time,Annual Thursday Start Time,Annual Thursday End Time,Annual Friday Start Time,Annual Friday End Time,Annual Saturday Start Time,Annual Saturday End Time,Annual Sunday Start Time,Annual Sunday End Time,School Terms Only Session 1 Monday Start Time,School Terms Only Session 1 Monday End Time,School Terms Only Session 1 Tuesday Start Time,School Terms Only Session 1 Tuesday End Time,School Terms Only Session1 Wednesday Start Time,School Terms Only Session1 Wednesday End Time,School Terms Only Session1 Thursday Start Time,School Terms Only Session1 Thursday End Time,School Terms Only Session 1 Friday Start Time,School Terms Only Session 1 Friday End Time,School Terms Only Session 1 Saturday Start Time,School Terms Only Session 1 Saturday End Time,School Terms Only Session1 Sunday Start Time,School Terms Only Session 1 Sunday End Time,School Terms Only Session 2 Monday Start Time,School Terms Only Session 2 Monday End Time,School Terms Only Session 2 Tuesday Start Time,School Terms Only Session 2 Tuesday End Time,School Terms Only Session 2 Wednesday Start Time,School Terms Only Session 2 Wednesday End Time,School Terms Only Session 2 Thursday Start Time,School Terms Only Session2 Thursday End Time,School Terms Only Session 2 Friday Start Time,School Terms Only Session 2 Friday End Time,School Terms Only Session 2 Saturday Start Time,School Terms Only Session 2 Saturday End Time,School Terms Only Session 2 Sunday Start Time,School Terms Only Session 2 Sunday End Time,Holiday Care Monday Start Time,Holiday Care Monday End Time,Holiday Care Tuesday Start Time,Holiday Care Tuesday End Time,Holiday Care Wednesday Start Time,Holiday Care Wednesday End Time,Holiday Care Thursday Start Time,Holiday Care Thursday End Time,Holiday Care Friday Start Time,Holiday Care Friday End Time,Holiday Care Saturday Start Time,Holiday Care Saturday End Time,Holiday Care Sunday Start Time,Holiday Care Sunday End Time,Temporarily Closed,SAL_CODE21
SE-40002158,PR-40001957,Orana Early Learning - Belmont,MITCHELL STREET EARLY LEARNING CENTRE PTY LTD,Centre-Based Care,23-25 Mitchell St,BELMONT,VIC,3216,03 5245 7670,,,130.0,10/7/2014,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-24,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Oct-19,,Yes,No,No,No,No,No,No,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,20201
SE-40002162,PR-40011462,Story House Early Learning Black Rock,Story House Early Learning No 12 Pty Ltd,Centre-Based Care,173 Bluff Rd,BLACK ROCK,VIC,3193,395984103,,,73.0,24/06/2014,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-20,2/2/2018,Yes,No,No,No,No,No,No,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,7:00,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,20251
SE-40002166,PR-00002783,Youth Leadership Victoria Clayton South,Youth Leadership Victoria Inc,Centre-Based Care,"Clayton South Primary School, 539-541 Clayton Rd",CLAYTON SOUTH,VIC,3169,412958601,,,30.0,24/06/2014,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-23,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Aug-18,3/10/2016,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,7:00,8:30,7:00,8:30,7:00,8:30,7:00,8:30,7:00,8:30,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,,,,,,,,,,,,,,,No,20570
SE-40002175,PR-00002539,Camp Australia - Bayside Christian College OSHC,Camp Australia Pty Limited,Centre-Based Care,"Bayside Christian College, 120-128 Robinsons Rd",LANGWARRIN SOUTH,VIC,3911,418687254,,"?€?	    An approved provider of an education and care service that is listed on the Department of Education & Training Bushfire At-Risk Register must ensure that: 
?€?	The service does not operate on any day that the Victorian Emergency Management Commissioner declares as having a 'Catastrophic' Fire Danger Rating that applies to the area or district at which that service is located.
?€?	The service's emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the service's bushfire and grass fire related risks.
?€?	The service's Emergency Management Plan is kept up to date, reflects the service's operating context, is reviewed at least once each calendar year, and includes:
o	a list of the service's emergency contact details
o	procedures for monitoring and managing bushfire and grassfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
?€?	A copy of the service's Emergency Management Plan is made available to the Regulatory Authority on request.
",25.0,13/06/2014,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-21,30/01/2017,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,18:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,No,21468
SE-40002181,PR-40028424,St Augustine's OSHC Frankston South,MELBOURNE ARCHDIOCESE CATHOLIC SCHOOLS EARLY YEARS EDUCATION LTD,Centre-Based Care,"St Augustine's Primary School, 88-98 Golf Links Rd",FRANKSTON SOUTH,VIC,3199,493951030,397705053,,80.0,5/6/2014,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-23,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-18,24/02/2025,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:30,8:40,6:30,8:40,6:30,8:40,6:30,8:40,6:30,8:40,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,,,,,No,20949
SE-40002182,PR-00003097,Mentone Childcare & Kindergarten,Chelsea Childcare & Kindergarten Pty Ltd,Centre-Based Care,21-23 Childers St,MENTONE,VIC,3194,395842144,,,117.0,1/12/2015,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-25,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-22,31/08/2018,Yes,No,Yes,Yes,Yes,Yes,No,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,6:30,18:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,21648
SE-40002185,PR-40037126,Woodlands St Kilda Road,WOODLANDS ST KILDA PTY LTD,Centre-Based Care,580 St Kilda Rd,MELBOURNE,VIC,3004,370316818,,"The Approved Provider must take reasonable steps to ensure that the service?€?s policy titled 'Access to Genuine Outdoor Environment' and 'Movement of Children Between Levels' are made available to, understood by, and followed by all staff members at the service.",140.0,20/08/2014,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Working Towards NQS,Oct-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-19,12/8/2024,Yes,No,No,No,No,No,Yes,7:00,19:00,7:00,19:00,7:00,19:00,7:00,19:00,7:00,19:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,21640
SE-00005273,PR-40002234,TeamKids - Lloyd Street Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,Lloyd Street,MALVERN EAST,VIC,3145,1300035000,,,258.0,1/1/2012,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-22,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-17,30/01/2020,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,21587
SE-00005274,PR-40011145,Malvern Central School TheirCare,TheirCare Pty Ltd,Centre-Based Care,Park Street,MALVERN,VIC,3144,1300072410,,,45.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-19,7/10/2019,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,6:30,9:00,6:30,9:00,6:30,9:00,6:30,9:00,6:30,9:00,,,,,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,,,,,No,21586
SE-00005275,PR-40002234,TeamKids - Kingswood Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,Plaza Cres,DINGLEY VILLAGE,VIC,3172,1300035000,,,75.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-23,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-17,10/1/2022,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,20758
SE-00005276,PR-00002539,Camp Australia - Black Rock Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,Arkaringa Crescent,BLACK ROCK,VIC,3193,452216063,,,70.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-19,,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,,,,,15:30,18:15,15:30,18:15,15:30,18:15,15:30,18:15,15:30,18:15,,,,,7:00,18:15,7:00,18:15,7:00,18:15,7:00,18:15,7:00,18:15,,,,,No,20251
SE-00005277,PR-00002539,Camp Australia Bellbridge Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,120 Bellbridge Drive,HOPPERS CROSSING,VIC,3029,423793825,,,145.0,1/1/2012,Exceeding NQS,Exceeding NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Mar-23,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Dec-18,31/01/2022,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:30,8:20,6:30,8:20,6:30,8:20,6:30,8:20,6:30,8:20,,,,,14:40,18:00,14:40,18:00,14:40,18:00,14:40,18:00,14:40,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,21203
SE-00005279,PR-00002539,Camp Australia - Haileybury Edrington OSHC,Camp Australia Pty Limited,Centre-Based Care,138 High Street,BERWICK,VIC,3806,423793666,,,110.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jan-25,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-21,,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:30,8:45,7:30,8:45,7:30,8:45,7:30,8:45,7:30,8:45,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,,,,,No,20224
SE-00005280,PR-00002539,Camp Australia - Haileybury Newlands OSHC,Camp Australia Pty Limited,Centre-Based Care,855-891 Springvale Rd,KEYSBOROUGH,VIC,3173,423793673,,,68.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-19,,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,8:00,18:00,,,,,No,21339
SE-00005281,PR-00002530,Mentone Grammar School OSHC- Extend,Extend (Australia) Pty Ltd,Centre-Based Care,71-73 Naples Road,MENTONE,VIC,3194,412153177,,,55.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Nov-19,31/01/2023,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,21648
SE-00005282,PR-40011145,St Margaret?€?s Berwick Grammar TheirCare,TheirCare Pty Ltd,Centre-Based Care,27-47 Gloucester Ave,BERWICK,VIC,3806,1300072410,,,53.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-25,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-22,29/01/2025,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:15,7:00,8:15,7:00,8:15,7:00,8:15,7:00,8:15,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,20224
SE-00005286,PR-40011323,Albert Park CommunityOSH,COMMUNITYOSH PTY LTD,Centre-Based Care,Bridport St,ALBERT PARK,VIC,3206,413544966,,,36.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jun-25,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-21,27/01/2025,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,,,,,,,,,,,,,,,No,20018
SE-00005288,PR-40023083,Our Patch OSHC at Toorak College,OUR PATCH EDUCATION PTY LTD,Centre-Based Care,Williams Road,MOUNT ELIZA,VIC,3930,427928863,,,86.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-25,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-21,8/1/2024,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,,,,,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,14:45,18:00,,,,,8:00,17:00,8:00,17:00,8:00,17:00,8:00,17:00,8:00,17:00,,,,,No,21793
SE-00005291,PR-00001532,Geelong Grammar School Toorak OSHC,Geelong Grammar School,Centre-Based Care,14 Douglas Street,TOORAK,VIC,3142,398291444,,,151.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-20,1/2/2025,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,,,,,,,,,,,,,,,No,22547
SE-00005292,PR-00002539,Camp Australia - Narre Warren North Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,A'Beckett Road,NARRE WARREN NORTH,VIC,3804,413763358,,,40.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-25,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-22,,No,No,No,Yes,Yes,No,No,,,,,,,,,,,,,,,6:45,8:45,6:45,8:45,6:45,8:45,6:45,8:45,6:45,8:45,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,,,,,,,,,,,,,,,No,21895
SE-00005293,PR-00002539,Camp Australia - Brentwood Park Primary School OSHC,Camp Australia Pty Limited,Centre-Based Care,Bemersyde Dr,BERWICK,VIC,3806,421640326,,,80.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-25,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-22,,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:45,8:45,6:45,8:45,6:45,8:45,6:45,8:45,6:45,8:45,,,,,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,,,,,6:45,18:00,6:45,18:00,6:45,18:00,6:45,18:00,6:45,18:00,,,,,No,20224
SE-00005295,PR-00002539,Camp Australia - St Kevin's Hampton Park OSHC,Camp Australia Pty Limited,Centre-Based Care,120 Hallam Road,HAMPTON PARK,VIC,3976,429137414,,,60.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Jul-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-19,,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,,,,,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,15:00,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,21133
SE-00005296,PR-40002234,TeamKids - St Mark's Primary - Dingley,TEAM HOLIDAY PTY LTD,Centre-Based Care,4-6 Dimar Ct,DINGLEY VILLAGE,VIC,3172,1300035000,,,60.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Mar-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-19,2/2/2023,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,7:00,9:00,,,,,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,20758
SE-00005297,PR-40011145,Maramba PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,Maramba Dr,NARRE WARREN,VIC,3805,1300072410,,,60.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Aug-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-20,30/01/2019,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,6:30,8:45,6:30,8:45,6:30,8:45,6:30,8:45,6:30,8:45,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,6:30,18:00,,,,,No,21893
SE-00005298,PR-40011145,Galilee Regional CPS TheirCare,TheirCare Pty Ltd,Centre-Based Care,Cnr Montague St & Bank St,SOUTH MELBOURNE,VIC,3205,1300072410,,,70.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-19,27/12/2018,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:30,7:00,8:30,7:00,8:30,7:00,8:30,7:00,8:30,,,,,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,15:20,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,22310
SE-00005299,PR-00001550,Greater Dandenong Family Day Care Scheme,Greater Dandenong City Council,Family Day Care,39 Clow Street,DANDENONG,VIC,3175,385711805,385715196,"The maximum number of family day care educators that may be engaged or registered by the approved provider is 150. ?€?  	The approved provider of a family day care education and care service must ensure that: 
?€?	Family day care educators engaged by or registered with the service and approved family day care venues, that are located in an area or district of bushfire or at risk of grassfire, close and do not operate on any day declared by the Victorian Emergency Management Commissioner to be a day of ?€?Catastrophic?€? Fire Danger Rating that applies to the area or district at which the family day care educator?€?s residence or family day care venue is located.
?€?	The family day care service?€?s emergency and evacuation policies and procedures required under regulation 168 of the Education and Care Services National Regulations include an Emergency Management Plan for managing the services?€? and family day care educators?€? bushfire and grassfire related risks.
?€?	The family day care service?€?s Emergency Management Plan reflects the operating context of the family day care service and its family day care educators, is kept up to date, reviewed at least once each calendar year; and includes:
o	 a list of the service?€?s emergency contact details
o	procedures for monitoring and managing bushfire risks and events
o	procedures for identifying and managing events that may cause planned, unplanned or pre-emptive closure of the service or family day care educators?€? service
o	procedures for notifying families of children enrolled at the service of any closure
o	procedures for reviewing and updating the Emergency Management Plan.
?€?	The Emergency Management Plan is made available to the Regulatory Authority on request.",,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Jul-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Exceeding NQS,Meeting NQS,Meeting NQS,Mar-20,,No,No,No,No,No,No,No,8:30,17:00,8:30,17:00,8:30,17:00,8:30,17:00,8:30,17:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,20707
SE-00005300,PR-00002530,Loreto Mandeville Hall Toorak OSHC- Extend,Extend (Australia) Pty Ltd,Centre-Based Care,10 Mandeville Crescent,TOORAK,VIC,3142,1300366437,,,50.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Apr-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Oct-19,31/01/2023,No,No,No,Yes,No,No,No,,,,,,,,,,,,,,,15:10,18:00,15:10,18:00,15:10,18:00,15:10,18:00,15:10,18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,No,22547
SE-00005302,PR-40002234,TeamKids - Beaumaris Primary,TEAM HOLIDAY PTY LTD,Centre-Based Care,99 Dalgetty Rd,BEAUMARIS,VIC,3193,1300035000,,,100.0,1/1/2012,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Exceeding NQS,Sep-24,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Sep-19,1/1/2021,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,,,,,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,15:15,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,20182
SE-00005303,PR-40011145,Malvern Valley PS TheirCare,TheirCare Pty Ltd,Centre-Based Care,1A Abbotsford Ave,MALVERN EAST,VIC,3145,1300072410,395684663,,60.0,1/1/2012,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,Meeting NQS,May-24,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Meeting NQS,Meeting NQS,Meeting NQS,Working Towards NQS,Oct-19,2/10/2023,No,No,No,Yes,Yes,Yes,No,,,,,,,,,,,,,,,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,7:00,8:45,,,,,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,15:30,18:00,,,,,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,7:00,18:00,,,,,No,21587
